,,
,Review,Sentiment
,"I really enjoyed the reunion a lot! I would have rated it a 10 if they had had ""Hassie"" and ""Little Luke"". There wasn't even a mention of where they are today or why they didn't participate in the reunion. They were very popular characters and I think it was a mistake not to give an explanation about their lack of appearance.<br /><br />Anyway, I was glad that TNN ran the series again! I had been looking for episodes for years and what a joy to be able to tape the whole series (I may have missed a few episodes). Jenny Hanahan",Positive
,"Story of a man who has unnatural feelings for a pig. Starts out with a opening scene that is a terrific example of absurd comedy. A formal orchestra audience is turned into an insane, violent mob by the crazy chantings of it's singers. Unfortunately it stays absurd the WHOLE time with no general narrative eventually making it just too off putting. Even those from the era should be turned off. The cryptic dialogue would make Shakespeare seem easy to a third grader. On a technical level it's better than you might think with some good cinematography by future great Vilmos Zsigmond. Future stars Sally Kirkland and Frederic Forrest can be seen briefly.",Neutral
,"6/10 Acting, not great but some good acting.<br /><br />4/10 Director, makes some stupid decisions for this film.<br /><br />2/10 Writer, story makes no sense at all and has huge amount of flaws.<br /><br />4/10 Overall score for this movie.<br /><br />Don't waste your time with this film, it's not worth it. I gave 4 for this movie and it may be too much. Characters are so over exaggerated than they can ever be in real life and some pretty unexplainable stuff happens ""storywise"", not in good way. Because of the style this film has been filmed you get bored after 30 minutes (too many special effects: slow motions and camera shakes and fast forwards). It's always good that movie uses music to make the story go smooth but there's too many tracks in this one. In the first hour there is almost 50/50 dialogs and musics",Negative
,"This film had a lot of promise, and the plot was relatively interesting, however the actors, director and editors seriously let this film down.<br /><br />I feel bad for the writers, it could have been good. The acting is wooden, very few of the characters are believable.<br /><br />Who ever edited this clearly just learnt some new edit techniques and wanted to splash them all over the film. There are lots of quick 'flashy' edits in almost every scene, which are clearly meant to be symbolic but just end up as annoying.<br /><br />I wanted to like this film and expected there to be a decent resolution to the breakdown of equilibrium but alas no, it left me feeling like I'd wasted my time and the film makers had wasted their money.",Negative
,"There are times when finishing a film one wishes to have a refund for the time just spent. This was one of those times. I almost gave up with only 15 minutes left to endure... and I wish I had...<br /><br />The pace that a man goes from a straight-laced, controlled life to one of complete spinelessness and irresponsibility could never be this rapid.<br /><br />From a graduation celebration to the predictable ending Tristan Price (Jesse Metcalfe) man of privilege and culture allows himself to be seduced by a woman, by violence, and by mind altering substances. Of course, the woman part is understandable when observing the talents of the beautiful April (Nathalie Kelley). But the in for a penny in for a pound aspect of the drugs, violence and dedication to a person he has just met is impossible to understand.<br /><br />Frankly, besides being able to stare at Nathalie Kelley and Monica Keena, this film has no redeeming qualities. Save your money, save your time... do anything else...",Negative
,"This movie was terrible. at first i just read the plot summary and it looked OK, so i watched it. The acting was TERRIBLE. it was like the actor were almost camera shy. everything seemed fake. i feel bad for Edward Furlong, terminator 2 was my favorite a few years ago.. I've watched it at least 20 times....<br /><br />the plot was also crap. the writers were probably sleep deprived when they came up with the lines.<br /><br />on the plus side, it's the good kind of bad movie. the one you keep watching just to see how much worst could it will get, so that later you can tell other people how you couldn't believe how terrible the movie was.<br /><br />i think everybody should watch this, so that then we could appreciate better other, REAL, movies.",Negative
,"That is exactly what I did while watching this movie. I watched the clock, hoping it would end soon.",Negative
,"I have always loved this movie. I don't know how my dad bought it but it must have been popular in the states when I was young. It is my favorite animated movie because of how beautiful it is. I used to pretend I was Princess Malta every night before I went to bed. Please try to find and see it if you are a lover of pretty things. My favorite thing about this movie is how sacrifice is romanticized. The only downside is the overused Romeo and Juliet theme, albeit, the story deviates from the older story enough to fool younger viewers. Malta is drawn very beautifully and so is Oceanus, the sea god. It is very dreamy and beautiful to journey into the world of ""The Sea Prince and the Fire Child.""",Positive
,"When I first saw this movie, I was around 9 or 10 years old. This is William Castle's first ""official"" horror movie. There are no monsters in it and no killers, at least no ""graphic"" killings, but for some reason, this has always been one of my favorite William Castle movies. I remember watching it real late at night. I think the intro and the end credits were somehow ""scary"" to me. At the end, as the credits are rolling, there is a cartoon of a ""macabre"" parade walking by. I still remember that to this day. One of the cartoon characters is carrying his own head. I'm 50 years old now and it's funny how a person can remember insignificant stuff like that over the years. I sure wish this movie would be released on DVD. I would love to see it in crystal clarity like the other William Castle movies that have been released on DVD.",Positive
,"This isn't my typical movie genre. I am more interested in character drama than action movies. This is able to span both genres in a way that Hollywood hasn't managed to accomplish. The plot was interesting and the acting by Anne Parillaud was exceptional.<br /><br />I had seen the American remake, called ""Point of No Return"" and found it to be an OK movie, but I wanted to see the original. I am glad that I did. The technical aspects of direction and editing are very good. The plot was interesting - revolving around the timeless theme of redemption. The acting made this an exceptional movie.<br /><br />For fans of the action genre, they will be quite happy. For those like myself who are more interested in character and plot-driven movies may find this to be a pleasant surprise as well.",Positive
